Line Name,p1,p2,p3,p4,p5,Line Description,prediction_JBEI,cv_prediction_JBEI,prediction_Tes,cv_prediction_Tes,priority_JBEI,std_JBEI,std_Tes,priority_Tes,From,Duplicates,Confirmed
SP577,1,7,16,20,29,1_7_16_20_29,,,206.6,206.6,,,26.7,29,Tes,n,y
SP580,1,8,17,19,25,1_8_17_19_25,,,228.3,228.3,,,22.4,24,Tes,n,y
SP581,2,7,16,20,27,2_7_16_20_27,,,198.8,198.8,,,34.6,25,Tes,n,y
SP582,2,7,16,21,27,2_7_16_21_27,,,199.3,199.3,,,34.4,16,Tes,n,y
SP586,2,8,16,19,25,2_8_16_19_25,235.2,235.2,,,10,28.3,,,JBEI,n,y
SP588,2,8,16,19,29,2_8_16_19_29,230.7,230.7,241.3,241.3,18,29.0,20.1,22,both,y,y
SP589,2,8,16,20,25,2_8_16_20_25,230.3,230.3,,,19,29.1,,,JBEI,n,y
SP590,2,8,16,20,29,2_8_16_20_29,228.5,228.5,,,28,28.6,,,JBEI,n,y
SP591,2,8,16,22,25,2_8_16_22_25,232.9,232.9,,,14,29.0,,,JBEI,n,y
SP593,2,8,16,22,29,2_8_16_22_29,231.5,231.5,,,16,29.0,,,JBEI,n,y
SP597,2,8,17,19,27,2_8_17_19_27,,,216.6,216.6,,,29.3,18,Tes,n,y
SP600,2,9,13,19,25,2_9_13_19_25,,,194.9,194.9,,,37.1,15,Tes,n,y
SP601,3,7,16,22,29,3_7_16_22_29,228.7,228.7,,,27,28.8,,,JBEI,n,y
SP602,3,8,16,19,25,3_8_16_19_25,235.9,235.9,,,9,28.7,,,JBEI,n,y
SP603,3,8,16,19,26,3_8_16_19_26,237.5,237.5,,,6,29.0,,,JBEI,n,y
SP605,3,8,16,19,29,3_8_16_19_29,238.1,238.1,,,4,28.5,,,JBEI,n,y
SP606,3,8,16,21,29,3_8_16_21_29,228.2,228.2,,,30,28.7,,,JBEI,n,y
SP607,3,8,16,22,25,3_8_16_22_25,237.5,237.5,,,5,28.8,,,JBEI,n,y
SP608,3,8,16,22,26,3_8_16_22_26,237.2,237.2,,,7,28.8,,,JBEI,n,y
SP609,3,8,16,22,28,3_8_16_22_28,242.4,242.4,,,1,29.2,,,JBEI,n,y
SP610,3,8,16,22,29,3_8_16_22_29,240.2,240.2,,,3,28.9,,,JBEI,n,y
SP611,3,8,16,24,26,3_8_16_24_26,229.2,229.2,,,23,29.0,,,JBEI,n,y
SP612,3,8,17,22,29,3_8_17_22_29,231.4,231.4,,,17,28.9,,,JBEI,n,y
SP613,3,9,13,23,25,3_9_13_23_25,,,194.9,194.9,,,33.2,13,Tes,n,y
SP614,4,8,16,19,29,4_8_16_19_29,,,232.2,232.2,,,24.3,9,Tes,n,y
SP616,5,8,16,19,28,5_8_16_19_28,228.4,228.4,,,29,28.8,,,JBEI,n,y
SP617,5,8,16,19,29,5_8_16_19_29,230,230,,,20,28.3,,,JBEI,n,y
SP618,5,8,16,22,25,5_8_16_22_25,229.4,229.4,,,21,29.1,,,JBEI,n,y
SP619,5,8,16,22,28,5_8_16_22_28,229.1,229.1,,,24,28.8,,,JBEI,n,y
SP620,5,8,16,22,29,5_8_16_22_29,233.7,233.7,,,12,29.1,,,JBEI,n,y
SP621,5,10,13,21,30,5_10_13_21_30,,,195.3,195.3,,,30.7,23,Tes,n,y
SP622,5,10,13,23,25,5_10_13_23_25,,,196.5,196.5,,,30.7,28,Tes,n,y
SP624,6,8,16,19,28,6_8_16_19_28,,,230.9,230.9,,,25.4,10,Tes,n,y
SP625,6,8,16,19,30,6_8_16_19_30,,,230.5,230.5,,,24.7,12,Tes,n,y
SP626,6,8,16,20,29,6_8_16_20_29,,,228.7,228.7,,,25.1,26,Tes,n,y
SP627,6,8,16,22,29,6_8_16_22_29,236.4,236.4,216.2,216.2,8,29.0,33.8,5,both,y,y
SP628,6,8,17,19,27,6_8_17_19_27,,,219.4,219.4,,,32.9,4,Tes,n,y
SP629,6,8,17,19,29,6_8_17_19_29,,,238,238,,,22.0,19,Tes,n,y
SP630,6,9,13,19,28,6_9_13_19_28,,,195.2,195.2,,,37.3,8,Tes,n,y
SP631,6,9,13,20,30,6_9_13_20_30,,,195.9,195.9,,,32.9,30,Tes,n,y
SP633,6,12,16,20,29,6_12_16_20_29,229.1,229.1,,,25,28.7,,,JBEI,n,y
