Line Name,Line Description,cured,single_population,plate,well,row,col,used_for_bg_subtraction,time,gfp,od,replicate_count
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,13,384,0.1402,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,28,341,0.1397,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,43,392,0.1369,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,58,319,0.1368,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,95,290,0.1354,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,110,312,0.1367,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,125,334,0.1384,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,140,343,0.1392,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,155,323,0.14,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,170,299,0.1415,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,185,350,0.1426,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,200,327,0.1413,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,215,287,0.1394,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,230,320,0.1401,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,245,354,0.1433,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,260,412,0.1473,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,275,423,0.1485,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,290,382,0.1471,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,305,444,0.1515,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,320,468,0.1578,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,335,455,0.1664,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,350,446,0.1759,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,365,568,0.1874,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,380,543,0.1985,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,395,656,0.2081,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,410,778,0.2197,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,425,786,0.2304,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,440,879,0.2406,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,455,926,0.2512,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,470,1041,0.2623,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,485,1018,0.2776,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,500,1168,0.2884,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,515,1257,0.2942,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,530,1252,0.3067,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,545,1372,0.3224,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,560,1358,0.3398,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,575,1532,0.3557,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,590,1628,0.3771,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,605,1617,0.4002,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,620,1688,0.4147,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,635,1672,0.4385,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,650,1810,0.4605,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,665,1781,0.4819,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,680,1925,0.5045,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,695,1988,0.5315,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,710,2093,0.5573,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,725,2062,0.5927,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,740,2228,0.6219,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,755,2034,0.6546,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,770,2170,0.6893,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,785,2152,0.7217,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,800,2242,0.7604,r1
SP590,02_08_16_20_29,y,y,yp36,A01,A,01,n,815,2248,0.7858,r1
