exp,test_mae_avg,test_mae_std,test_r2_avg,test_r2_std,train_mae_avg,train_mae_std,train_r2_avg,train_r2_std
10,31.05231264,25.25973663,-209.4157162,1481.599939,8.264496377,1.326035708,0.901484276,0.091221254
28,31.06108608,15.59794315,-2.081849516,5.342380057,8.099792065,0.680456296,0.931848471,0.013222646
46,28.34595223,10.8034317,-0.265329624,1.084793878,8.131841991,0.472920127,0.932171838,0.009379846
64,27.51934265,7.673707986,0.058173368,0.617744262,9.318976606,1.070060779,0.915723606,0.015011746
82,24.32605637,6.797969062,0.262446482,0.506275529,8.982027915,1.091050584,0.922836854,0.014319267
100,24.25495022,5.819212999,0.318793488,0.433239597,9.091362685,0.820799365,0.922852691,0.021813676
118,24.39950918,5.503633287,0.347171667,0.334281213,9.696767568,0.714453607,0.913546051,0.010922079
136,24.17390935,4.955007151,0.351637388,0.309873154,9.915818474,0.88510286,0.910167081,0.015216567
154,22.88684519,4.735377149,0.410888988,0.255974103,9.708988158,0.520422225,0.911012834,0.009473627
172,22.9737339,4.397414595,0.394311136,0.269267124,10.02203124,0.958162144,0.905998929,0.019201869
190,23.13131543,4.49576007,0.434195191,0.230873436,10.71270768,0.743214188,0.894329776,0.017339792
208,22.74273623,4.259883618,0.416308653,0.28916414,10.09750931,0.438831013,0.905049579,0.00845674
227,22.73837408,4.264698569,0.449007279,0.188481422,10.61483536,0.571653881,0.896276822,0.011915862
246,22.37248838,3.707472098,0.440812405,0.162933951,10.6155154,0.415946906,0.896793697,0.007010055
